"МО (КОД)","МО (НАИМЕН.)","СМО (код)","СМО (наим.)","Кол-во счетов","Сумма"
"13041","ГБУЗ ""Участковая больница №3 г. Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","0","0,00"
"13041","ГБУЗ ""Участковая больница №3 г. Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","274","141 773,68"
"13047","ГБУЗ ""Кожно-венерологический диспансер № 2"" МЗ КК г.Сочи","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","5 040","4 738 151,40"
"13047","ГБУЗ ""Кожно-венерологический диспансер № 2"" МЗ КК г.Сочи","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","30","13 571,86"
"13047","ГБУЗ ""Кожно-венерологический диспансер № 2"" МЗ КК г.Сочи","1707","Краснодарский филиал ООО ВТБ МС","12","5 067,40"
"13047","ГБУЗ ""Кожно-венерологический диспансер № 2"" МЗ КК г.Сочи","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 356","1 597 456,00"
"13514","ГБУЗ  ""Центр общественного здоровья и медицинской профилактики г.Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","1 360","1 484 959,20"
"13514","ГБУЗ  ""Центр общественного здоровья и медицинской профилактики г.Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","2","2 216,32"
"13514","ГБУЗ  ""Центр общественного здоровья и медицинской профилактики г.Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","4","4 432,64"
"13514","ГБУЗ  ""Центр общественного здоровья и медицинской профилактики г.Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","546","585 119,20"
"13516","ГБУЗ ""ЦОМиД г.Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","51 732","102 815 661,90"
"13516","ГБУЗ ""ЦОМиД г.Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","188","1 026 543,52"
"13516","ГБУЗ ""ЦОМиД г.Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","94","31 142,86"
"13516","ГБУЗ ""ЦОМиД г.Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","22 890","34 261 750,28"
"13524","ЧУЗ ""РЖД-Медицина"" г.Сочи""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","84","105 092,22"
"13524","ЧУЗ ""РЖД-Медицина"" г.Сочи""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","38","18 283,32"
"13571","ГБУЗ  ""Станция скорой медицинской помощи г. Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","21 488","0,00"
"13571","ГБУЗ  ""Станция скорой медицинской помощи г. Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","176","0,00"
"13571","ГБУЗ  ""Станция скорой медицинской помощи г. Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","110","0,00"
"13571","ГБУЗ  ""Станция скорой медицинской помощи г. Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","5 496","0,00"
"13572","ГБУЗ ""Городская поликлиника №4 г.Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","24 076","3 642 850,68"
"13572","ГБУЗ ""Городская поликлиника №4 г.Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","68","40 391,12"
"13572","ГБУЗ ""Городская поликлиника №4 г.Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","48","7 883,58"
"13572","ГБУЗ ""Городская поликлиника №4 г.Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","4 334","881 436,56"
"13587","ГБУЗ ""Краевая больница №4"" МЗ КК г.Сочи","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","73 432","43 328 777,48"
"13587","ГБУЗ ""Краевая больница №4"" МЗ КК г.Сочи","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","184","508 172,54"
"13587","ГБУЗ ""Краевая больница №4"" МЗ КК г.Сочи","1707","Краснодарский филиал ООО ВТБ МС","216","323 270,58"
"13587","ГБУЗ ""Краевая больница №4"" МЗ КК г.Сочи","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 530","2 335 030,08"
